"date","metrics","value"
"20161223","6",43.3125
"20161223","7",36.5714285714286
"20161223","8",44.3333333333333
"20161223","9",35.9375
"20161223","10",42
"20161223","11",44.5625
"20161223","12",41.9375
"20161223","13",53.125
"20161223","14",50.6428571428571
"20161223","15",45.6875
"20161223","16",51.6875
"20161223","17",53
"20161223","18",29.5
"20161223","19",34.1875
"20161223","20",73.9375
"20161223","21",63.6875
"20161223","22",67.5
"20161223","23",44.6875
"20161223","24",22.625
"20161223","25",46.1333333333333
"20161223","26",36.5
"20161223","27",123.25
"20161223","28",56
"20161223","29",95.4375
"20161223","30",140.625
"20161223","31",44.75
"20161223","32",65
"20161223","33",42.625
"20161223","34",46.3125
"20161223","35",45.8125
"20161222","1",327.625
"20161222","2",305.708333333333
"20161222","3",321.916666666667
"20161222","4",324.75
"20161222","5",287.625
"20161222","6",320
"20161222","7",280.541666666667
"20161222","8",292.375
"20161222","9",237
"20161222","10",316.5
"20161222","11",308.333333333333
"20161222","12",331.375
"20161222","13",339.041666666667
"20161222","14",328
"20161222","15",270.25
"20161222","16",325.416666666667
"20161222","17",350.75
"20161222","18",286.5
"20161222","19",258.791666666667
"20161222","20",367.333333333333
"20161222","21",357.416666666667
"20161222","22",352.375
"20161222","23",177.333333333333
"20161222","24",231.636363636364
"20161222","25",105.291666666667
"20161222","26",263.541666666667
"20161222","27",408.583333333333
"20161222","28",290.541666666667
"20161222","29",323.041666666667
"20161222","30",434.2
"20161222","31",327.833333333333
"20161222","32",414.416666666667
"20161222","33",289.304347826087
"20161222","34",340.833333333333
"20161222","35",325.916666666667
"20161221","1",430
"20161221","2",415.916666666667
"20161221","3",431.347826086957
"20161221","4",434.791666666667
"20161221","5",401.333333333333
"20161221","6",402.958333333333
"20161221","7",418.708333333333
"20161221","8",405.333333333333
"20161221","9",391.083333333333
"20161221","10",472.916666666667
"20161221","11",452.125
"20161221","12",490.208333333333
"20161221","13",460.875
"20161221","14",422.291666666667
"20161221","15",325.041666666667
"20161221","16",397.375
"20161221","17",361.666666666667
"20161221","18",430.416666666667
"20161221","19",450.916666666667
"20161221","20",386.041666666667
"20161221","21",387.958333333333
"20161221","22",388.375
"20161221","23",232.125
"20161221","24",413.208333333333
