"date","hour","metrics","value"
"20151231","0","PM2.5",39.0571428571429
"20151231","0","PM10",59.5
"20151231","0","AQI",119.828571428571
"20151231","1","PM2.5",39.7142857142857
"20151231","1","PM10",69.4285714285714
"20151231","1","AQI",102.342857142857
"20151231","2","PM2.5",41.2857142857143
"20151231","2","PM10",71.5
"20151231","2","AQI",87.5714285714286
"20151231","3","PM2.5",42.9714285714286
"20151231","3","PM10",58.9230769230769
"20151231","3","AQI",79.1142857142857
"20151231","4","PM2.5",41.8285714285714
"20151231","4","PM10",58.8181818181818
"20151231","4","AQI",71.4571428571429
"20151231","5","PM2.5",38.2571428571429
"20151231","5","PM10",73
"20151231","5","AQI",64.4571428571429
"20151231","6","PM2.5",38.2
"20151231","6","PM10",68.3636363636364
"20151231","6","AQI",57.8857142857143
"20151231","7","PM2.5",37.6
"20151231","7","PM10",48.3076923076923
"20151231","7","AQI",54.0857142857143
"20151231","8","PM2.5",37.2285714285714
"20151231","8","PM10",57.2777777777778
"20151231","8","AQI",51.5714285714286
"20151231","9","PM2.5",46.6571428571429
"20151231","9","PM10",73.7916666666667
"20151231","9","AQI",49.3428571428571
"20151231","10","PM2.5",60.3823529411765
"20151231","10","PM10",83.4230769230769
"20151231","10","AQI",49.6
"20151231","11","PM2.5",52
"20151231","11","PM10",70.125
"20151231","11","AQI",49.3428571428571
"20151231","12","PM2.5",49.28125
"20151231","12","PM10",64.5
"20151231","12","AQI",50.8
"20151231","13","PM2.5",49.8
"20151231","13","PM10",57
"20151231","13","AQI",51.8571428571429
"20151231","14","PM2.5",58.7096774193548
"20151231","14","PM10",71.8
"20151231","14","AQI",54.8571428571429
"20151231","15","PM2.5",69.5454545454545
"20151231","15","PM10",87.4782608695652
"20151231","15","AQI",58.8857142857143
"20151231","16","PM2.5",78.030303030303
"20151231","16","PM10",102.692307692308
"20151231","16","AQI",64.0857142857143
"20151231","17","PM2.5",89.6969696969697
"20151231","17","PM10",115.92
"20151231","17","AQI",67.6
"20151231","18","PM2.5",102.117647058824
"20151231","18","PM10",142.034482758621
"20151231","18","AQI",72.0285714285714
"20151231","19","PM2.5",134.685714285714
"20151231","19","PM10",175.741935483871
"20151231","19","AQI",78.5428571428571
"20151231","20","PM2.5",149.411764705882
"20151231","20","PM10",184.6
"20151231","20","AQI",85.7714285714286
"20151231","21","PM2.5",153.885714285714
"20151231","21","PM10",188.178571428571
"20151231","21","AQI",91.8857142857143
"20151231","22","PM2.5",166.8
"20151231","22","PM10",201.730769230769
"20151231","22","AQI",97.5142857142857
"20151231","23","PM2.5",188.714285714286
"20151231","23","PM10",224.25
"20151231","23","AQI",104.085714285714
"20151230","0","PM2.5",394.363636363636
"20151230","0","PM10",429.111111111111
"20151230","0","AQI",332.885714285714
"20151230","1","PM2.5",380.69696969697
"20151230","1","PM10",425.9375
"20151230","1","AQI",337.685714285714
"20151230","2","PM2.5",334.212121212121
"20151230","2","PM10",385.363636363636
"20151230","2","AQI",341.457142857143
"20151230","3","PM2.5",234.617647058824
"20151230","3","PM10",275.857142857143
"20151230","3","AQI",342.742857142857
"20151230","4","PM2.5",176.264705882353
"20151230","4","PM10",179.5
"20151230","4","AQI",340.657142857143
"20151230","5","PM2.5",164.470588235294
"20151230","5","PM10",181.222222222222
"20151230","5","AQI",338.2
"20151230","6","PM2.5",149.852941176471
"20151230","6","PM10",176.666666666667
"20151230","6","AQI",335.4
"20151230","7","PM2.5",116.058823529412
"20151230","7","PM10",125.5
"20151230","7","AQI",331.314285714286
"20151230","8","PM2.5",84.6176470588235
"20151230","8","PM10",104.538461538462
"20151230","8","AQI",326.228571428571
"20151230","9","PM2.5",78.2857142857143
"20151230","9","PM10",74.6428571428571
"20151230","9","AQI",320.171428571429
"20151230","10","PM2.5",42.1764705882353
"20151230","10","PM10",32.2727272727273
"20151230","10","AQI",302.285714285714
"20151230","11","PM2.5",24.25
"20151230","11","PM10",27
"20151230","11","AQI",287.657142857143
"20151230","12","PM2.5",12.6875
"20151230","12","PM10",32.7777777777778
"20151230","12","AQI",273.685714285714
"20151230","13","PM2.5",12
"20151230","13","PM10",26.875
"20151230","13","AQI",282.142857142857
"20151230","14","PM2.5",11.3030303030303
"20151230","14","PM10",27.9230769230769
"20151230","14","AQI",277.542857142857
"20151230","15","PM2.5",9.9
"20151230","15","PM10",23.1176470588235
"20151230","15","AQI",275.342857142857
"20151230","16","PM2.5",8.48484848484848
"20151230","16","PM10",24.6923076923077
"20151230","16","AQI",265.4
"20151230","17","PM2.5",9.94117647058824
"20151230","17","PM10",20.75
"20151230","17","AQI",255.114285714286
"20151230","18","PM2.5",13.7058823529412
"20151230","18","PM10",32.9285714285714
"20151230","18","AQI",241.914285714286
"20151230","19","PM2.5",24.7714285714286
"20151230","19","PM10",46.1538461538462
"20151230","19","AQI",237
"20151230","20","PM2.5",30.3714285714286
"20151230","20","PM10",49.8461538461538
"20151230","20","AQI",214.628571428571
"20151230","21","PM2.5",33.1142857142857
"20151230","21","PM10",68.0769230769231
"20151230","21","AQI",195.514285714286
"20151230","22","PM2.5",33.0294117647059
"20151230","22","PM10",66.25
"20151230","22","AQI",168.117647058824
"20151230","23","PM2.5",38.6
"20151230","23","PM10",65.1818181818182
"20151230","23","AQI",138.628571428571
"20151229","0","PM2.5",244.029411764706
"20151229","0","PM10",292.2
"20151229","0","AQI",165.529411764706
"20151229","1","PM2.5",247.142857142857
"20151229","1","PM10",272.923076923077
"20151229","1","AQI",172.285714285714
"20151229","2","PM2.5",245.457142857143
"20151229","2","PM10",294
"20151229","2","AQI",179.028571428571
"20151229","3","PM2.5",244.028571428571
"20151229","3","PM10",318.833333333333
"20151229","3","AQI",185.857142857143
"20151229","4","PM2.5",241.314285714286
"20151229","4","PM10",269.583333333333
"20151229","4","AQI",192.485714285714
"20151229","5","PM2.5",229.342857142857
"20151229","5","PM10",242
"20151229","5","AQI",198.657142857143
"20151229","6","PM2.5",222
"20151229","6","PM10",247.2
"20151229","6","AQI",204.4
"20151229","7","PM2.5",228.657142857143
"20151229","7","PM10",247.2
"20151229","7","AQI",210.371428571429
"20151229","8","PM2.5",226.828571428571
"20151229","8","PM10",234.666666666667
"20151229","8","AQI",216.114285714286
"20151229","9","PM2.5",219.742857142857
"20151229","9","PM10",237.136363636364
"20151229","9","AQI",221.114285714286
"20151229","10","PM2.5",220.457142857143
"20151229","10","PM10",258.608695652174
"20151229","10","AQI",225.857142857143
"20151229","11","PM2.5",224.171428571429
"20151229","11","PM10",249.304347826087
"20151229","11","AQI",231.2
"20151229","12","PM2.5",239.4375
"20151229","12","PM10",272.695652173913
"20151229","12","AQI",230.314285714286
"20151229","13","PM2.5",247.515151515152
"20151229","13","PM10",272.62962962963
"20151229","13","AQI",236.714285714286
"20151229","14","PM2.5",251.606060606061
"20151229","14","PM10",276.384615384615
"20151229","14","AQI",243.828571428571
"20151229","15","PM2.5",261.617647058824
"20151229","15","PM10",281.555555555556
"20151229","15","AQI",251.885714285714
"20151229","16","PM2.5",283.757575757576
"20151229","16","PM10",318.3
"20151229","16","AQI",258
"20151229","17","PM2.5",323.088235294118
"20151229","17","PM10",366.225806451613
"20151229","17","AQI",273.542857142857
"20151229","18","PM2.5",354.823529411765
"20151229","18","PM10",412.03125
"20151229","18","AQI",283.228571428571
"20151229","19","PM2.5",397.823529411765
"20151229","19","PM10",447.333333333333
"20151229","19","AQI",294.742857142857
"20151229","20","PM2.5",415.441176470588
"20151229","20","PM10",460.458333333333
"20151229","20","AQI",304.657142857143
"20151229","21","PM2.5",425.176470588235
"20151229","21","PM10",473.652173913043
"20151229","21","AQI",314
"20151229","22","PM2.5",432.029411764706
"20151229","22","PM10",459.166666666667
"20151229","22","AQI",322.6
"20151229","23","PM2.5",412.029411764706
"20151229","23","PM10",456.428571428571
