"date","hour","metrics","value"
"20181231","0","PM2.5",35.9705882352941
"20181231","0","PM10",73.2121212121212
"20181231","0","AQI",63.4705882352941
"20181231","1","PM2.5",34.8484848484849
"20181231","1","PM10",71.34375
"20181231","1","AQI",58.7575757575758
"20181231","2","PM2.5",36
"20181231","2","PM10",73.5151515151515
"20181231","2","AQI",61.3636363636364
"20181231","3","PM2.5",35.6470588235294
"20181231","3","PM10",75.1515151515152
"20181231","3","AQI",60.7058823529412
"20181231","4","PM2.5",32.3235294117647
"20181231","4","PM10",63.875
"20181231","4","AQI",53.7647058823529
"20181231","5","PM2.5",35.2058823529412
"20181231","5","PM10",53.1290322580645
"20181231","5","AQI",56.3235294117647
"20181231","6","PM2.5",29.5294117647059
"20181231","6","PM10",57.2121212121212
"20181231","6","AQI",52.4117647058824
"20181231","7","PM2.5",25.5
"20181231","7","PM10",50.3333333333333
"20181231","7","AQI",44.5882352941176
"20181231","8","PM2.5",29.1176470588235
"20181231","8","PM10",44.2903225806452
"20181231","8","AQI",47.4705882352941
"20181231","9","PM2.5",26.7941176470588
"20181231","9","PM10",50.3235294117647
"20181231","9","AQI",46.2058823529412
"20181231","10","PM2.5",31.6470588235294
"20181231","10","PM10",61.6666666666667
"20181231","10","AQI",53.8529411764706
"20181231","11","PM2.5",32
"20181231","11","PM10",56.2258064516129
"20181231","11","AQI",50.7272727272727
"20181231","12","PM2.5",34.3529411764706
"20181231","12","PM10",52.6774193548387
"20181231","12","AQI",51.5294117647059
"20181231","13","PM2.5",36.3529411764706
"20181231","13","PM10",55.1612903225806
"20181231","13","AQI",54.2352941176471
"20181231","14","PM2.5",40.6176470588235
"20181231","14","PM10",60.3125
"20181231","14","AQI",58.5
"20181231","15","PM2.5",43.3333333333333
"20181231","15","PM10",68.5625
"20181231","15","AQI",63.1212121212121
"20181231","16","PM2.5",46.9705882352941
"20181231","16","PM10",69.7058823529412
"20181231","16","AQI",66.3529411764706
"20181231","17","PM2.5",49.8787878787879
"20181231","17","PM10",73.8181818181818
"20181231","17","AQI",69.6060606060606
"20181231","18","PM2.5",53.6764705882353
"20181231","18","PM10",81.3235294117647
"20181231","18","AQI",74.9411764705882
"20181231","19","PM2.5",55.7058823529412
"20181231","19","PM10",84.5588235294118
"20181231","19","AQI",77.6176470588235
"20181231","20","PM2.5",58
"20181231","20","PM10",86.5
"20181231","20","AQI",80.2647058823529
"20181231","21","PM2.5",58.2352941176471
"20181231","21","PM10",88.6470588235294
"20181231","21","AQI",81
"20181231","22","PM2.5",60.7941176470588
"20181231","22","PM10",89.0882352941177
"20181231","22","AQI",83.2058823529412
"20181231","23","PM2.5",60.6176470588235
"20181231","23","PM10",97.8181818181818
"20181231","23","AQI",85.2352941176471
"20181230","0","PM2.5",15.8529411764706
"20181230","0","PM10",35.5294117647059
"20181230","0","AQI",35.0882352941176
"20181230","1","PM2.5",15.2058823529412
"20181230","1","PM10",32.7058823529412
"20181230","1","AQI",34.3529411764706
"20181230","2","PM2.5",12.3823529411765
"20181230","2","PM10",27.7741935483871
"20181230","2","AQI",28.5294117647059
"20181230","3","PM2.5",10.4705882352941
"20181230","3","PM10",25.8529411764706
"20181230","3","AQI",28.8823529411765
"20181230","4","PM2.5",9.65625
"20181230","4","PM10",23.8125
"20181230","4","AQI",26.53125
"20181230","5","PM2.5",10.1818181818182
"20181230","5","PM10",25.741935483871
"20181230","5","AQI",26.8181818181818
"20181230","6","PM2.5",10.2941176470588
"20181230","6","PM10",28.030303030303
"20181230","6","AQI",27.9411764705882
"20181230","7","PM2.5",11.1764705882353
"20181230","7","PM10",33.3235294117647
"20181230","7","AQI",31.2058823529412
"20181230","8","PM2.5",12.9393939393939
"20181230","8","PM10",32.8787878787879
"20181230","8","AQI",32.5294117647059
"20181230","9","PM2.5",14.2352941176471
"20181230","9","PM10",42.9411764705882
"20181230","9","AQI",38.3235294117647
"20181230","10","PM2.5",13.8235294117647
"20181230","10","PM10",37.969696969697
"20181230","10","AQI",34.1470588235294
"20181230","11","PM2.5",13.7878787878788
"20181230","11","PM10",30.25
"20181230","11","AQI",28.3030303030303
"20181230","12","PM2.5",13.6470588235294
"20181230","12","PM10",29.125
"20181230","12","AQI",26.5
"20181230","13","PM2.5",13.21875
"20181230","13","PM10",24
"20181230","13","AQI",24.4545454545455
"20181230","14","PM2.5",12.969696969697
"20181230","14","PM10",27.0645161290323
"20181230","14","AQI",27.3823529411765
"20181230","15","PM2.5",15.03125
