"date","hour","metrics","value"
"20151231","0","SO2",12.0571428571429
"20151231","0","NO2",56
"20151231","0","O3",16.9714285714286
"20151231","0","CO",1.32647058823529
"20151231","1","SO2",10.8285714285714
"20151231","1","NO2",53.3142857142857
"20151231","1","O3",17.6
"20151231","1","CO",1.4
"20151231","2","SO2",10.8571428571429
"20151231","2","NO2",51.8285714285714
"20151231","2","O3",15.4571428571429
"20151231","2","CO",1.49117647058824
"20151231","3","SO2",8.88571428571429
"20151231","3","NO2",52.6285714285714
"20151231","3","O3",19.3714285714286
"20151231","3","CO",1.65882352941176
"20151231","4","SO2",9.08571428571429
"20151231","4","NO2",52.9428571428571
"20151231","4","O3",12.25
"20151231","4","CO",1.7
"20151231","5","SO2",9.42857142857143
"20151231","5","NO2",54
"20151231","5","O3",11.7428571428571
"20151231","5","CO",1.79117647058824
"20151231","6","SO2",10.0571428571429
"20151231","6","NO2",51.7428571428571
"20151231","6","O3",11.1428571428571
"20151231","6","CO",1.96470588235294
"20151231","7","SO2",9.85714285714286
"20151231","7","NO2",53.2
"20151231","7","O3",9.31428571428571
"20151231","7","CO",1.90588235294118
"20151231","8","SO2",10.0571428571429
"20151231","8","NO2",56.4857142857143
"20151231","8","O3",7.31428571428571
"20151231","8","CO",1.97647058823529
"20151231","9","SO2",15.1428571428571
"20151231","9","NO2",57.6285714285714
"20151231","9","O3",8.48571428571429
"20151231","9","CO",2.12058823529412
"20151231","10","SO2",24.1428571428571
"20151231","10","NO2",59.9428571428571
"20151231","10","O3",11.6571428571429
"20151231","10","CO",2.38823529411765
"20151231","11","SO2",23.1470588235294
"20151231","11","NO2",60.5428571428571
"20151231","11","O3",15.8823529411765
"20151231","11","CO",1.86176470588235
"20151231","12","SO2",21.1470588235294
"20151231","12","NO2",59.3428571428571
"20151231","12","O3",20.5714285714286
"20151231","12","CO",1.61470588235294
"20151231","13","SO2",21.6
"20151231","13","NO2",59.0285714285714
"20151231","13","O3",25.2857142857143
"20151231","13","CO",1.4
"20151231","14","SO2",22.6
"20151231","14","NO2",63.2647058823529
"20151231","14","O3",25.8235294117647
"20151231","14","CO",1.42727272727273
"20151231","15","SO2",24.8857142857143
"20151231","15","NO2",69.9393939393939
