"date","metrics","value"
"20141230","1",80.2916666666667
"20141230","2",115.75
"20141230","3",88.75
"20141230","4",98.5
"20141230","6",99.7083333333333
"20141230","7",82
"20141230","8",79.0416666666667
"20141230","9",49.4166666666667
"20141230","10",123.666666666667
"20141230","11",106.75
"20141230","12",84.625
"20141230","13",197.291666666667
"20141230","14",218.625
"20141230","15",176.958333333333
"20141230","16",192.333333333333
"20141230","17",55.0833333333333
"20141230","18",59.7083333333333
"20141230","19",70.1666666666667
"20141230","20",68.4583333333333
"20141230","21",57
"20141230","22",47.5
"20141230","23",57.1666666666667
"20141230","24",44.8695652173913
"20141230","25",60.5
"20141230","26",41.0416666666667
"20141230","27",53.75
"20141230","28",295.958333333333
"20141230","29",269.166666666667
"20141230","30",331.666666666667
"20141230","31",135.041666666667
"20141230","32",150.708333333333
"20141230","33",100.083333333333
"20141230","34",151.958333333333
"20141230","35",118.583333333333
"20141229","1",170.083333333333
"20141229","2",239.666666666667
"20141229","3",184.833333333333
"20141229","4",163.666666666667
"20141229","6",225.333333333333
"20141229","7",139.5
"20141229","8",116.833333333333
"20141229","9",99.3333333333333
"20141229","10",265.125
"20141229","11",210.416666666667
"20141229","12",115.416666666667
"20141229","13",320.958333333333
"20141229","14",396.416666666667
"20141229","15",345.333333333333
"20141229","16",303.625
"20141229","17",85.4166666666667
"20141229","18",98.2083333333333
"20141229","19",78.3333333333333
"20141229","20",93.875
"20141229","21",81.4166666666667
"20141229","22",83.8333333333333
"20141229","23",81.2083333333333
"20141229","24",68.5833333333333
"20141229","25",80.5833333333333
"20141229","26",68.75
"20141229","27",115.875
"20141229","28",337.541666666667
"20141229","29",440.208333333333
"20141229","30",478.166666666667
"20141229","31",272.75
"20141229","32",290.5
"20141229","33",225.791666666667
"20141229","34",287.5
"20141229","35",251.958333333333
"20141228","1",166.625
"20141228","2",275.125
"20141228","3",239.5
"20141228","4",232.75
"20141228","6",280.291666666667
"20141228","7",233.833333333333
"20141228","8",255.625
"20141228","9",211.333333333333
"20141228","10",332.583333333333
"20141228","11",299.041666666667
"20141228","12",225.916666666667
"20141228","13",428.958333333333
"20141228","14",455.166666666667
"20141228","15",389.125
"20141228","16",380.833333333333
"20141228","17",184.666666666667
"20141228","18",188.625
"20141228","19",174.458333333333
"20141228","20",207.625
"20141228","21",188.583333333333
"20141228","22",222.125
"20141228","23",162.25
"20141228","24",176
"20141228","25",85.4
"20141228","26",174.375
"20141228","27",240.041666666667
"20141228","28",431.958333333333
"20141228","29",498.833333333333
"20141228","30",472.666666666667
"20141228","31",314.083333333333
"20141228","32",335.208333333333
"20141228","33",275.25
"20141228","34",339.25
"20141228","35",321.875
"20141227","1",230.125
"20141227","2",212.75
"20141227","3",181.875
"20141227","4",228.625
