"date","hour","metrics","value"
"20161229","0","SO2",8.02941176470588
"20161229","0","NO2",39.030303030303
"20161229","0","O3",29.6666666666667
"20161229","0","CO",0.751515151515151
"20161229","1","SO2",7.38235294117647
"20161229","1","NO2",41.0294117647059
"20161229","1","O3",24.3030303030303
"20161229","1","CO",0.86875
"20161229","2","SO2",8.33333333333333
"20161229","2","NO2",42.1212121212121
"20161229","2","O3",23.1515151515152
"20161229","2","CO",0.928125
"20161229","3","SO2",8.08823529411765
"20161229","3","NO2",44.5
"20161229","3","O3",21.2058823529412
"20161229","3","CO",0.972727272727273
"20161229","4","SO2",8.87878787878788
"20161229","4","NO2",44.6666666666667
"20161229","4","O3",22.75
"20161229","4","CO",1.00625
"20161229","5","SO2",8.3125
"20161229","5","NO2",43.5625
"20161229","5","O3",21.21875
"20161229","5","CO",1.08709677419355
"20161229","6","SO2",9.12121212121212
"20161229","6","NO2",43.6060606060606
"20161229","6","O3",22.6060606060606
"20161229","6","CO",1.184375
"20161229","7","SO2",10.2121212121212
"20161229","7","NO2",46.5151515151515
"20161229","7","O3",19.969696969697
"20161229","7","CO",1.228125
"20161229","8","SO2",9.96875
"20161229","8","NO2",50.71875
"20161229","8","O3",16.9375
"20161229","8","CO",1.31935483870968
"20161229","9","SO2",11.8125
"20161229","9","NO2",49.5
"20161229","9","O3",21.125
"20161229","9","CO",1.08387096774194
"20161228","0","SO2",12.3428571428571
"20161228","0","NO2",67.4
"20161228","0","O3",9.17142857142857
"20161228","0","CO",1.68823529411765
"20161228","1","SO2",16.7647058823529
"20161228","1","NO2",66.3142857142857
"20161228","1","O3",7.65714285714286
"20161228","1","CO",1.80882352941176
"20161228","2","SO2",14.8
"20161228","2","NO2",66.0285714285714
"20161228","2","O3",6.05714285714286
"20161228","2","CO",2.13529411764706
"20161228","3","SO2",13.4571428571429
"20161228","3","NO2",65.7714285714286
"20161228","3","O3",18.3428571428571
"20161228","3","CO",1.98235294117647
"20161228","4","SO2",12.8857142857143
"20161228","4","NO2",60.1428571428571
"20161228","4","O3",11.0869565217391
"20161228","4","CO",1.9
"20161228","5","SO2",11.6
"20161228","5","NO2",61.3235294117647
"20161228","5","O3",5.14285714285714
"20161228","5","CO",1.92058823529412
"20161228","6","SO2",10.2352941176471
"20161228","6","NO2",59.5
"20161228","6","O3",5.70588235294118
"20161228","6","CO",1.89393939393939
"20161228","7","SO2",10.2
"20161228","7","NO2",62.1428571428571
"20161228","7","O3",4.94285714285714
"20161228","7","CO",2.06176470588235
"20161228","8","SO2",11.7941176470588
"20161228","8","NO2",65.3529411764706
"20161228","8","O3",4.97058823529412
"20161228","8","CO",2.32727272727273
"20161228","9","SO2",16
"20161228","9","NO2",62.7428571428571
"20161228","9","O3",8.08571428571429
"20161228","9","CO",2.05294117647059
"20161228","10","SO2",18.5714285714286
"20161228","10","NO2",51.3428571428571
"20161228","10","O3",21.9428571428571
"20161228","10","CO",1.54411764705882
"20161228","11","SO2",14.969696969697
"20161228","11","NO2",37.8529411764706
"20161228","11","O3",37.8529411764706
"20161228","11","CO",1.04545454545455
"20161228","12","SO2",11.7666666666667
"20161228","12","NO2",26.7647058823529
"20161228","12","O3",49.4411764705882
"20161228","12","CO",0.715625
"20161228","13","SO2",9.48387096774194
"20161228","13","NO2",21.5714285714286
"20161228","13","O3",54.6176470588235
"20161228","13","CO",0.586666666666667
"20161228","14","SO2",6.46875
"20161228","14","NO2",17.8
"20161228","14","O3",57.9655172413793
"20161228","14","CO",0.424137931034483
"20161228","15","SO2",13.5
"20161228","15","NO2",16.6206896551724
"20161228","15","O3",56.6333333333333
"20161228","15","CO",0.361290322580645
"20161228","16","SO2",5.94117647058824
"20161228","16","NO2",19.4666666666667
"20161228","16","O3",51.5625
"20161228","16","CO",0.37741935483871
"20161228","17","SO2",5.65625
"20161228","17","NO2",24.0689655172414
"20161228","17","O3",47.5625
"20161228","17","CO",0.413333333333333
"20161228","18","SO2",5.55172413793103
"20161228","18","NO2",28.2258064516129
"20161228","18","O3",42.9032258064516
"20161228","18","CO",0.458064516129032
"20161228","19","SO2",6.31034482758621
"20161228","19","NO2",29.75
"20161228","19","O3",41.4516129032258
"20161228","19","CO",0.479310344827586
"20161228","20","SO2",6.34375
"20161228","20","NO2",30.1290322580645
"20161228","20","O3",36.7931034482759
"20161228","20","CO",0.514285714285714
"20161228","21","SO2",5.57575757575758
"20161228","21","NO2",30
