"date","hour","metrics","value"
"20171231","0","PM2.5",17.2727272727273
"20171231","0","PM10",49.125
"20171231","0","AQI",44.6666666666667
"20171231","1","PM2.5",23.8235294117647
"20171231","1","PM10",43.28125
"20171231","1","AQI",50.0588235294118
"20171231","2","PM2.5",23.3235294117647
"20171231","2","PM10",41.9375
"20171231","2","AQI",50.8823529411765
"20171231","3","PM2.5",26.5882352941176
"20171231","3","PM10",44.8125
"20171231","3","AQI",51.9705882352941
"20171231","4","PM2.5",16.4242424242424
"20171231","4","PM10",44.8709677419355
"20171231","4","AQI",41.1470588235294
"20171231","5","PM2.5",24.7058823529412
"20171231","5","PM10",46.28125
"20171231","5","AQI",50.9117647058824
"20171231","6","PM2.5",28.7352941176471
"20171231","6","PM10",58.9032258064516
"20171231","6","AQI",57.7647058823529
"20171231","7","PM2.5",26.4242424242424
"20171231","7","PM10",59.03125
"20171231","7","AQI",57.1212121212121
"20171231","8","PM2.5",27.8823529411765
"20171231","8","PM10",61.6363636363636
"20171231","8","AQI",59.6470588235294
"20171231","9","PM2.5",34.1176470588235
"20171231","9","PM10",71.3636363636364
"20171231","9","AQI",69.1764705882353
"20171231","10","PM2.5",36.6969696969697
"20171231","10","PM10",77.2424242424242
"20171231","10","AQI",70
"20171231","11","PM2.5",33.9354838709677
"20171231","11","PM10",72.5483870967742
"20171231","11","AQI",68.375
"20171231","12","PM2.5",43.2424242424242
"20171231","12","PM10",73.3030303030303
"20171231","12","AQI",70
"20171231","13","PM2.5",45.6363636363636
"20171231","13","PM10",79.8709677419355
"20171231","13","AQI",69.3823529411765
"20171231","14","PM2.5",42.6176470588235
"20171231","14","PM10",74.3333333333333
"20171231","14","AQI",67.7941176470588
"20171231","15","PM2.5",37.4411764705882
"20171231","15","PM10",72.8484848484848
"20171231","15","AQI",62.4117647058824
"20171231","16","PM2.5",37.6470588235294
"20171231","16","PM10",77.2727272727273
"20171231","16","AQI",64.2647058823529
"20171231","17","PM2.5",42.030303030303
"20171231","17","PM10",82.375
"20171231","17","AQI",67.5
"20171231","18","PM2.5",51.5294117647059
"20171231","18","PM10",106.558823529412
"20171231","18","AQI",87.7941176470588
"20171231","19","PM2.5",63.9117647058824
"20171231","19","PM10",112.794117647059
"20171231","19","AQI",91.1176470588235
"20171231","20","PM2.5",64.7058823529412
"20171231","20","PM10",107.393939393939
"20171231","20","AQI",90.3235294117647
"20171231","21","PM2.5",63.7272727272727
"20171231","21","PM10",109.53125
"20171231","21","AQI",89.8235294117647
"20171231","22","PM2.5",64.2352941176471
"20171231","22","PM10",112.242424242424
"20171231","22","AQI",91.2058823529412
"20171231","23","PM2.5",62.9411764705882
"20171231","23","PM10",113.090909090909
"20171231","23","AQI",90.6176470588235
"20171230","0","PM2.5",213.393939393939
"20171230","0","PM10",234.846153846154
"20171230","0","AQI",264.212121212121
"20171230","1","PM2.5",215.617647058824
"20171230","1","PM10",238.818181818182
"20171230","1","AQI",266.411764705882
"20171230","2","PM2.5",212.617647058824
"20171230","2","PM10",239.909090909091
"20171230","2","AQI",263.205882352941
"20171230","3","PM2.5",206.558823529412
"20171230","3","PM10",240.25
"20171230","3","AQI",258.029411764706
"20171230","4","PM2.5",210.588235294118
"20171230","4","PM10",245.181818181818
"20171230","4","AQI",261.264705882353
"20171230","5","PM2.5",214.352941176471
"20171230","5","PM10",251.916666666667
"20171230","5","AQI",264.941176470588
"20171230","6","PM2.5",213.088235294118
"20171230","6","PM10",243.692307692308
"20171230","6","AQI",263.794117647059
"20171230","7","PM2.5",210.764705882353
"20171230","7","PM10",227.5
"20171230","7","AQI",261.264705882353
"20171230","8","PM2.5",209.545454545455
"20171230","8","PM10",222.222222222222
"20171230","8","AQI",259.121212121212
"20171230","9","PM2.5",205.852941176471
"20171230","9","PM10",207.909090909091
"20171230","9","AQI",254.352941176471
"20171230","10","PM2.5",204.757575757576
"20171230","10","PM10",164.777777777778
"20171230","10","AQI",252.636363636364
"20171230","11","PM2.5",201.9375
"20171230","11","PM10",193.272727272727
"20171230","11","AQI",248.3125
"20171230","12","PM2.5",173.909090909091
"20171230","12","PM10",143.75
"20171230","12","AQI",211.058823529412
"20171230","13","PM2.5",108.46875
"20171230","13","PM10",88.6
"20171230","13","AQI",143.030303030303
"20171230","14","PM2.5",81.0294117647059
"20171230","14","PM10",83.5833333333333
"20171230","14","AQI",124.147058823529
"20171230","15","PM2.5",56.3823529411765
"20171230","15","PM10",74.6153846153846
"20171230","15","AQI",97.9411764705882
"20171230","16","PM2.5",42.3333333333333
"20171230","16","PM10",54.8928571428571
"20171230","16","AQI",73.7647058823529
"20171230","17","PM2.5",35.2058823529412
"20171230","17","PM10",63.4333333333333
"20171230","17","AQI",68.0588235294118
"20171230","18","PM2.5",35.4705882352941
"20171230","18","PM10",72.0689655172414
"20171230","18","AQI",72.2352941176471
"20171230","19","PM2.5",32.1515151515151
"20171230","19","PM10",61.7931034482759
"20171230","19","AQI",63.9705882352941
"20171230","20","PM2.5",30.2352941176471
"20171230","20","PM10",59.8928571428571
"20171230","20","AQI",59.7941176470588
"20171230","21","PM2.5",31.3823529411765
"20171230","21","PM10",57.1724137931034
"20171230","21","AQI",60.1764705882353
"20171230","22","PM2.5",29.4848484848485
"20171230","22","PM10",53.7586206896552
"20171230","22","AQI",57
"20171230","23","PM2.5",27.8823529411765
"20171230","23","PM10",51.9032258064516
"20171230","23","AQI",56.1176470588235
"20171229","0","PM2.5",158.727272727273
"20171229","0","PM10",187.777777777778
"20171229","0","AQI",205.515151515152
"20171229","1","PM2.5",160.294117647059
"20171229","1","PM10",191.055555555556
"20171229","1","AQI",207.029411764706
"20171229","2","PM2.5",161.441176470588
"20171229","2","PM10",208.5
"20171229","2","AQI",208.058823529412
"20171229","3","PM2.5",159.382352941176
"20171229","3","PM10",206.214285714286
"20171229","3","AQI",205.323529411765
"20171229","4","PM2.5",157.676470588235
"20171229","4","PM10",198.266666666667
"20171229","4","AQI",203.029411764706
"20171229","5","PM2.5",154.411764705882
"20171229","5","PM10",196.25
"20171229","5","AQI",198.970588235294
"20171229","6","PM2.5",152.911764705882
"20171229","6","PM10",198.181818181818
"20171229","6","AQI",197.882352941176
"20171229","7","PM2.5",151.558823529412
"20171229","7","PM10",185
"20171229","7","AQI",195.735294117647
